tanggal,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas I,Daging Sapi Kualitas II,Telur Ayam,Telur Ayam Ras Segar,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk I,Minyak Goreng Kemasan Bermerk II,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
2016-07-25,10900.0,9850.0,9300.0,11400.0,10850.0,12250.0,11750.0,31200.0,31200.0,136900.0,146250.0,127500.0,21250.0,21250.0,50000.0,50000.0,40000.0,40000.0,35000.0,37500.0,32500.0,42250.0,34500.0,50000.0,12850.0,11250.0,14000.0,13250.0,16100.0,17250.0,14900.0
2016-07-26,10950.0,9900.0,9300.0,11400.0,10850.0,12400.0,11750.0,31500.0,31500.0,136900.0,146250.0,127500.0,21250.0,21250.0,50000.0,50000.0,40000.0,40000.0,35000.0,37500.0,32500.0,44750.0,34500.0,55000.0,12850.0,11250.0,14000.0,13250.0,16100.0,17250.0,14900.0
2016-07-27,10950.0,9900.0,9300.0,11400.0,10850.0,12400.0,11750.0,31700.0,31700.0,136900.0,146250.0,127500.0,21750.0,21750.0,49500.0,49500.0,40000.0,40000.0,35000.0,37500.0,32500.0,45000.0,35000.0,55000.0,12850.0,11250.0,14000.0,13250.0,16100.0,17250.0,14900.0
2016-07-28,10950.0,9900.0,9300.0,11400.0,10850.0,12400.0,11750.0,32200.0,32200.0,136900.0,146250.0,127500.0,21750.0,21750.0,49500.0,49500.0,40000.0,40000.0,35000.0,37500.0,32500.0,44500.0,34000.0,55000.0,12850.0,11250.0,14000.0,13250.0,16450.0,17250.0,15650.0
2016-07-29,10950.0,9900.0,9300.0,11400.0,10850.0,12400.0,11750.0,32000.0,32000.0,136900.0,146250.0,127500.0,21750.0,21750.0,54500.0,54500.0,40000.0,40000.0,36000.0,39500.0,32500.0,44750.0,34500.0,55000.0,12850.0,11250.0,14000.0,13250.0,16600.0,17250.0,15900.0
2016-07-30,10950.0,9900.0,9300.0,11400.0,10850.0,12400.0,11750.0,32000.0,32000.0,136900.0,146250.0,127500.0,21750.0,21750.0,54500.0,54500.0,40000.0,40000.0,36000.0,39500.0,32500.0,44750.0,34500.0,55000.0,12850.0,11250.0,14000.0,13250.0,16600.0,17250.0,15900.0
2016-07-31,10950.0,9900.0,9300.0,11400.0,10850.0,12400.0,11750.0,32000.0,32000.0,136900.0,146250.0,127500.0,21750.0,21750.0,54500.0,54500.0,40000.0,40000.0,36000.0,39500.0,32500.0,44750.0,34500.0,55000.0,12850.0,11250.0,14000.0,13250.0,16600.0,17250.0,15900.0
2016-08-01,10950.0,9900.0,9300.0,11400.0,10850.0,12400.0,11750.0,32350.0,32350.0,136900.0,146250.0,127500.0,22000.0,22000.0,49000.0,49000.0,39500.0,39500.0,35750.0,39500.0,32000.0,44750.0,34500.0,55000.0,12850.0,11250.0,14000.0,13250.0,16600.0,17250.0,15900.0
2016-08-02,10950.0,9900.0,9300.0,11400.0,10850.0,12400.0,11750.0,32700.0,32700.0,135650.0,143750.0,127500.0,22750.0,22750.0,44500.0,44500.0,36500.0,36500.0,34650.0,37250.0,32000.0,45900.0,34250.0,57500.0,13300.0,11500.0,14500.0,13900.0,16600.0,17250.0,15900.0
2016-08-03,10950.0,9900.0,9300.0,11400.0,10850.0,12400.0,11750.0,35000.0,35000.0,135650.0,143750.0,127500.0,22750.0,22750.0,46000.0,46000.0,37500.0,37500.0,34750.0,37500.0,32000.0,48500.0,39500.0,57500.0,13300.0,11500.0,14500.0,13900.0,16700.0,17250.0,16150.0
