tanggal,harga
2016-07-25,50000.0
2016-07-26,55000.0
2016-07-27,55000.0
2016-07-28,55000.0
2016-07-29,55000.0
2016-08-01,55000.0
2016-08-02,57500.0
2016-08-03,57500.0
2016-08-04,59250.0
2016-08-05,59250.0
2016-08-08,60000.0
2016-08-09,60000.0
2016-08-10,60000.0
2016-08-11,58000.0
2016-08-12,58000.0
2016-08-15,58000.0
2016-08-16,60000.0
2016-08-18,62000.0
2016-08-19,62000.0
2016-08-22,60000.0
2016-08-23,60000.0
2016-08-24,60000.0
2016-08-25,53000.0
2016-08-26,55000.0
2016-08-29,52500.0
2016-08-30,52500.0
2016-08-31,54500.0
2016-09-01,54500.0
2016-09-02,54500.0
2016-09-05,54500.0
2016-09-06,54500.0
2016-09-07,51500.0
2016-09-08,52000.0
2016-09-09,50500.0
2016-09-13,50500.0
2016-09-14,48000.0
2016-09-15,45500.0
2016-09-16,40000.0
2016-09-19,37500.0
2016-09-20,37500.0
2016-09-21,36250.0
2016-09-22,33750.0
2016-09-23,35750.0
2016-09-26,35750.0
2016-09-27,35000.0
2016-09-28,35750.0
2016-09-29,34000.0
2016-09-30,33000.0
2016-10-03,35000.0
2016-10-04,35000.0
2016-10-05,33650.0
2016-10-06,31650.0
2016-10-07,32000.0
2016-10-10,35000.0
2016-10-11,36000.0
2016-10-12,37500.0
2016-10-13,36250.0
2016-10-14,37750.0
2016-10-17,45500.0
2016-10-18,46750.0
2016-10-19,45000.0
2016-10-20,47500.0
2016-10-21,49500.0
2016-10-24,50000.0
2016-10-25,55500.0
2016-10-26,55500.0
2016-10-27,52500.0
2016-10-28,54500.0
2016-10-31,55000.0
2016-11-01,55000.0
2016-11-02,52000.0
2016-11-03,60000.0
2016-11-04,60000.0
2016-11-07,65500.0
2016-11-08,72000.0
2016-11-09,73000.0
2016-11-10,75000.0
2016-11-11,70000.0
2016-11-14,75000.0
2016-11-15,69500.0
2016-11-16,71500.0
2016-11-17,67500.0
2016-11-18,66000.0
2016-11-21,60500.0
2016-11-22,60000.0
2016-11-23,63000.0
2016-11-24,64500.0
2016-11-25,55000.0
2016-11-28,55000.0
2016-11-29,50500.0
2016-11-30,50500.0
2016-12-01,50500.0
2016-12-02,50500.0
2016-12-05,50500.0
2016-12-06,52000.0
2016-12-07,50500.0
2016-12-08,52000.0
2016-12-09,62500.0
2016-12-13,65000.0
2016-12-14,70500.0
2016-12-15,72000.0
2016-12-16,70750.0
2016-12-19,68000.0
2016-12-20,74500.0
2016-12-21,75000.0
2016-12-22,80000.0
2016-12-23,80000.0
2016-12-27,94500.0
2016-12-28,95000.0
2016-12-29,95000.0
2016-12-30,97500.0
2017-01-03,119250.0
2017-01-04,119250.0
2017-01-05,120000.0
2017-01-06,120000.0
2017-01-09,120000.0
2017-01-10,120000.0
2017-01-11,120000.0
2017-01-12,120000.0
2017-01-13,120000.0
2017-01-16,120000.0
2017-01-17,120000.0
2017-01-18,120000.0
2017-01-19,125000.0
2017-01-20,125000.0
2017-01-23,130000.0
2017-01-24,130000.0
2017-01-25,130000.0
2017-01-26,130000.0
2017-01-27,130000.0
2017-01-30,130000.0
2017-01-31,145000.0
2017-02-01,145000.0
2017-02-02,145000.0
2017-02-03,145000.0
2017-02-06,160000.0
2017-02-07,160000.0
2017-02-08,157500.0
2017-02-09,157500.0
2017-02-10,157500.0
2017-02-13,155000.0
2017-02-14,155000.0
2017-02-16,145000.0
2017-02-17,145000.0
2017-02-20,155000.0
2017-02-21,150000.0
2017-02-22,147500.0
2017-02-23,150000.0
2017-02-24,150000.0
2017-02-27,150000.0
2017-02-28,150000.0
2017-03-01,150000.0
2017-03-02,150000.0
2017-03-03,155000.0
2017-03-06,150000.0
2017-03-07,150000.0
2017-03-08,150000.0
2017-03-09,150000.0
2017-03-10,145000.0
2017-03-13,145000.0
2017-03-14,145000.0
2017-03-15,140000.0
2017-03-16,140000.0
2017-03-17,131250.0
2017-03-20,111250.0
2017-03-21,100000.0
2017-03-22,100000.0
2017-03-23,100000.0
2017-03-24,100000.0
2017-03-27,90000.0
2017-03-29,90000.0
2017-03-30,90000.0
2017-03-31,85000.0
2017-04-03,78000.0
2017-04-04,70500.0
2017-04-05,70500.0
2017-04-06,65500.0
2017-04-07,65500.0
2017-04-10,65500.0
2017-04-11,65500.0
2017-04-12,68000.0
2017-04-13,68000.0
2017-04-17,68000.0
2017-04-18,68000.0
2017-04-19,68000.0
2017-04-20,68000.0
2017-04-21,68000.0
2017-04-25,68000.0
2017-04-26,68000.0
2017-04-27,68000.0
2017-04-28,68000.0
2017-05-02,68000.0
2017-05-03,68000.0
2017-05-04,68000.0
2017-05-05,68000.0
2017-05-08,72500.0
2017-05-09,72500.0
2017-05-10,72500.0
2017-05-12,72500.0
2017-05-15,67500.0
2017-05-16,67500.0
2017-05-17,67500.0
2017-05-18,67500.0
2017-05-19,67500.0
2017-05-22,65000.0
2017-05-23,65000.0
2017-05-24,65000.0
2017-05-26,65000.0
2017-05-29,65000.0
2017-05-30,65000.0
2017-05-31,60500.0
2017-06-02,55500.0
2017-06-05,55500.0
2017-06-06,55500.0
2017-06-07,55500.0
2017-06-08,47500.0
2017-06-09,47500.0
2017-06-12,47500.0
2017-06-13,47500.0
2017-06-14,47500.0
2017-06-15,47500.0
2017-06-16,47500.0
2017-06-19,50000.0
2017-06-20,50000.0
2017-06-21,50000.0
2017-06-22,50000.0
2017-07-03,45000.0
2017-07-04,45000.0
2017-07-05,45000.0
2017-07-06,42500.0
2017-07-07,42500.0
2017-07-10,45500.0
2017-07-11,45500.0
2017-07-12,45500.0
2017-07-13,45500.0
2017-07-14,45500.0
2017-07-17,50000.0
2017-07-18,50000.0
2017-07-19,50000.0
2017-07-20,52500.0
2017-07-21,51250.0
2017-07-24,53750.0
2017-07-25,48750.0
2017-07-26,48750.0
2017-07-27,48750.0
2017-07-28,48750.0
2017-07-31,52500.0
2017-08-01,52500.0
2017-08-02,52500.0
2017-08-03,48750.0
2017-08-04,48750.0
2017-08-07,48750.0
2017-08-08,47500.0
2017-08-09,47500.0
2017-08-10,42500.0
2017-08-11,42500.0
2017-08-14,40000.0
2017-08-15,40000.0
2017-08-16,40000.0
2017-08-18,40000.0
2017-08-21,32500.0
2017-08-22,32500.0
2017-08-23,32500.0
2017-08-24,30500.0
2017-08-25,30500.0
2017-08-28,30000.0
2017-08-29,30000.0
2017-08-30,30000.0
2017-08-31,30000.0
2017-09-04,29500.0
2017-09-05,29500.0
2017-09-06,29500.0
2017-09-07,29500.0
2017-09-08,29500.0
2017-09-11,23750.0
2017-09-12,23750.0
2017-09-13,23750.0
2017-09-14,25000.0
2017-09-15,25000.0
2017-09-18,25000.0
2017-09-19,25000.0
2017-09-20,22500.0
2017-09-22,22500.0
2017-09-25,22500.0
2017-09-26,22500.0
2017-09-27,22500.0
2017-09-28,22500.0
2017-09-29,25000.0
2017-10-02,25000.0
2017-10-03,25000.0
2017-10-04,25000.0
2017-10-05,25000.0
2017-10-06,25000.0
2017-10-09,25000.0
2017-10-10,25000.0
2017-10-11,25000.0
2017-10-12,23750.0
2017-10-13,23750.0
2017-10-16,23750.0
2017-10-17,23750.0
2017-10-18,23750.0
2017-10-19,25250.0
2017-10-20,25250.0
2017-10-23,25000.0
2017-10-24,24500.0
2017-10-25,24500.0
2017-10-26,24500.0
2017-10-27,24500.0
2017-10-30,25000.0
2017-10-31,25000.0
2017-11-01,26500.0
2017-11-02,26500.0
2017-11-03,26500.0
2017-11-06,26500.0
2017-11-07,28750.0
2017-11-08,28750.0
2017-11-09,28750.0
2017-11-10,28750.0
2017-11-13,28750.0
2017-11-14,28750.0
2017-11-15,28750.0
2017-11-16,29500.0
2017-11-17,29500.0
2017-11-20,32500.0
2017-11-21,32500.0
2017-11-22,30000.0
