komoditas,tanggal,harga
Beras,25/07/2016,10900
Beras,26/07/2016,10950
Beras,27/07/2016,10950
Beras,28/07/2016,10950
Beras,29/07/2016,10950
Beras,01/08/2016,10950
Beras,02/08/2016,10950
Beras,03/08/2016,10950
Beras,04/08/2016,10950
Beras,05/08/2016,10950
Beras,08/08/2016,11050
Beras,09/08/2016,11050
Beras,10/08/2016,11050
Beras,11/08/2016,11050
Beras,12/08/2016,11050
Beras,15/08/2016,11050
Beras,16/08/2016,11050
Beras,18/08/2016,11050
Beras,19/08/2016,11050
Beras,22/08/2016,11050
Beras,23/08/2016,11050
Beras,24/08/2016,11000
Beras,25/08/2016,11000
Beras,26/08/2016,11000
Beras,29/08/2016,10950
Beras,30/08/2016,10950
Beras,31/08/2016,10950
Beras,01/09/2016,10950
Beras,02/09/2016,10950
Beras,05/09/2016,10950
Beras,06/09/2016,10950
Beras,07/09/2016,10950
Beras,08/09/2016,10950
Beras,09/09/2016,10950
Beras,13/09/2016,10950
Beras,14/09/2016,10950
Beras,15/09/2016,10950
Beras,16/09/2016,10950
Beras,19/09/2016,10950
Beras,20/09/2016,10950
Beras,21/09/2016,10950
Beras,22/09/2016,10950
Beras,23/09/2016,10950
Beras,26/09/2016,10950
Beras,27/09/2016,10950
Beras,28/09/2016,10950
Beras,29/09/2016,10950
Beras,30/09/2016,10950
Beras,03/10/2016,10950
Beras,04/10/2016,10950
Beras,05/10/2016,10950
Beras,06/10/2016,10950
Beras,07/10/2016,10950
Beras,10/10/2016,10950
Beras,11/10/2016,10950
Beras,12/10/2016,10950
Beras,13/10/2016,10950
Beras,14/10/2016,10950
Beras,17/10/2016,10950
Beras,18/10/2016,10950
Beras,19/10/2016,10950
Beras,20/10/2016,10950
Beras,21/10/2016,10950
Beras,24/10/2016,10950
Beras,25/10/2016,10950
Beras,26/10/2016,10950
Beras,27/10/2016,10950
Beras,28/10/2016,10950
Beras,31/10/2016,10950
Beras,01/11/2016,10950
Beras,02/11/2016,10950
Beras,03/11/2016,10950
Beras,04/11/2016,10950
Beras,07/11/2016,10950
Beras,08/11/2016,10950
Beras,09/11/2016,10950
Beras,10/11/2016,10950
Beras,11/11/2016,10950
Beras,14/11/2016,10950
Beras,15/11/2016,10950
Beras,16/11/2016,10950
Beras,17/11/2016,10950
Beras,18/11/2016,10950
Beras,21/11/2016,10950
Beras,22/11/2016,10950
Beras,23/11/2016,10950
Beras,24/11/2016,10950
Beras,25/11/2016,10950
Beras,28/11/2016,10950
Beras,29/11/2016,10950
Beras,30/11/2016,10950
Beras,01/12/2016,10950
Beras,02/12/2016,10950
Beras,05/12/2016,10950
Beras,06/12/2016,10950
Beras,07/12/2016,10950
Beras,08/12/2016,10950
Beras,09/12/2016,10950
Beras,13/12/2016,10950
Beras,14/12/2016,10950
Beras,15/12/2016,10950
Beras,16/12/2016,10950
Beras,19/12/2016,10950
Beras,20/12/2016,10950
Beras,21/12/2016,10950
Beras,22/12/2016,10950
Beras,23/12/2016,10950
Beras,27/12/2016,11000
Beras,28/12/2016,11000
Beras,29/12/2016,11000
Beras,30/12/2016,11000
Beras Kualitas Bawah I,25/07/2016,9850
Beras Kualitas Bawah I,26/07/2016,9900
Beras Kualitas Bawah I,27/07/2016,9900
Beras Kualitas Bawah I,28/07/2016,9900
Beras Kualitas Bawah I,29/07/2016,9900
Beras Kualitas Bawah I,01/08/2016,9900
Beras Kualitas Bawah I,02/08/2016,9900
Beras Kualitas Bawah I,03/08/2016,9900
Beras Kualitas Bawah I,04/08/2016,9900
Beras Kualitas Bawah I,05/08/2016,9900
Beras Kualitas Bawah I,08/08/2016,9750
Beras Kualitas Bawah I,09/08/2016,9750
Beras Kualitas Bawah I,10/08/2016,9750
Beras Kualitas Bawah I,11/08/2016,9750
Beras Kualitas Bawah I,12/08/2016,9750
Beras Kualitas Bawah I,15/08/2016,9750
Beras Kualitas Bawah I,16/08/2016,9750
Beras Kualitas Bawah I,18/08/2016,9750
Beras Kualitas Bawah I,19/08/2016,9750
Beras Kualitas Bawah I,22/08/2016,9750
Beras Kualitas Bawah I,23/08/2016,9750
Beras Kualitas Bawah I,24/08/2016,9750
Beras Kualitas Bawah I,25/08/2016,9750
Beras Kualitas Bawah I,26/08/2016,9750
Beras Kualitas Bawah I,29/08/2016,9750
Beras Kualitas Bawah I,30/08/2016,9750
Beras Kualitas Bawah I,31/08/2016,9750
Beras Kualitas Bawah I,01/09/2016,9750
Beras Kualitas Bawah I,02/09/2016,9750
Beras Kualitas Bawah I,05/09/2016,9750
