tanggal,harga-imputed
2016-07-25,50000.0
2016-07-26,50000.0
2016-07-27,49500.0
2016-07-28,49500.0
2016-07-29,54500.0
2016-07-30,54500.0
2016-07-31,54500.0
2016-08-01,49000.0
2016-08-02,44500.0
2016-08-03,46000.0
2016-08-04,46500.0
2016-08-05,47000.0
2016-08-06,47000.0
2016-08-07,47000.0
2016-08-08,40000.0
2016-08-09,40000.0
2016-08-10,37500.0
2016-08-11,39500.0
2016-08-12,39500.0
2016-08-13,39500.0
2016-08-14,39500.0
2016-08-15,41750.0
2016-08-16,39000.0
2016-08-17,39000.0
2016-08-18,36500.0
2016-08-19,35000.0
2016-08-20,35000.0
2016-08-21,35000.0
2016-08-22,38500.0
2016-08-23,34250.0
2016-08-24,34750.0
2016-08-25,34500.0
2016-08-26,33000.0
2016-08-27,33000.0
2016-08-28,33000.0
2016-08-29,37500.0
2016-08-30,37250.0
2016-08-31,40000.0
2016-09-01,40000.0
2016-09-02,40000.0
2016-09-03,40000.0
2016-09-04,40000.0
2016-09-05,45000.0
2016-09-06,47000.0
2016-09-07,44500.0
2016-09-08,45000.0
2016-09-09,45000.0
2016-09-10,45000.0
2016-09-11,45000.0
2016-09-12,45000.0
2016-09-13,44500.0
2016-09-14,42000.0
2016-09-15,40000.0
2016-09-16,41650.0
2016-09-17,41650.0
2016-09-18,41650.0
2016-09-19,40150.0
2016-09-20,36650.0
2016-09-21,36150.0
2016-09-22,36150.0
2016-09-23,36150.0
2016-09-24,36150.0
2016-09-25,36150.0
2016-09-26,35000.0
2016-09-27,32150.0
2016-09-28,34750.0
2016-09-29,33000.0
2016-09-30,33500.0
2016-10-01,33500.0
2016-10-02,33500.0
2016-10-03,34500.0
2016-10-04,35000.0
2016-10-05,32750.0
2016-10-06,30500.0
2016-10-07,29250.0
2016-10-08,29250.0
2016-10-09,29250.0
2016-10-10,33000.0
2016-10-11,32500.0
2016-10-12,32000.0
2016-10-13,33000.0
2016-10-14,32000.0
2016-10-15,32000.0
2016-10-16,32000.0
2016-10-17,37000.0
2016-10-18,35250.0
2016-10-19,35000.0
2016-10-20,35500.0
2016-10-21,32500.0
2016-10-22,32500.0
2016-10-23,32500.0
2016-10-24,35750.0
2016-10-25,42750.0
2016-10-26,45250.0
2016-10-27,47000.0
2016-10-28,47500.0
2016-10-29,47500.0
2016-10-30,47500.0
2016-10-31,43250.0
2016-11-01,44500.0
2016-11-02,42000.0
2016-11-03,42000.0
2016-11-04,45000.0
2016-11-05,45000.0
2016-11-06,45000.0
2016-11-07,47500.0
2016-11-08,47500.0
2016-11-09,50000.0
2016-11-10,49500.0
2016-11-11,54000.0
2016-11-12,54000.0
2016-11-13,54000.0
2016-11-14,50500.0
2016-11-15,50000.0
2016-11-16,50000.0
2016-11-17,49500.0
2016-11-18,49500.0
2016-11-19,49500.0
2016-11-20,49500.0
2016-11-21,48000.0
2016-11-22,44000.0
2016-11-23,43000.0
2016-11-24,40750.0
2016-11-25,43000.0
2016-11-26,43000.0
2016-11-27,43000.0
2016-11-28,45500.0
2016-11-29,45500.0
2016-11-30,49500.0
2016-12-01,44500.0
2016-12-02,45000.0
2016-12-03,45000.0
2016-12-04,45000.0
2016-12-05,40000.0
2016-12-06,38500.0
2016-12-07,39000.0
2016-12-08,40000.0
2016-12-09,37750.0
2016-12-10,37750.0
2016-12-11,37750.0
2016-12-12,37750.0
2016-12-13,39000.0
2016-12-14,36500.0
2016-12-15,36500.0
2016-12-16,35250.0
2016-12-17,35250.0
2016-12-18,35250.0
2016-12-19,33000.0
2016-12-20,32500.0
2016-12-21,32500.0
2016-12-22,33500.0
2016-12-23,32000.0
2016-12-24,32000.0
2016-12-25,32000.0
2016-12-26,32000.0
2016-12-27,32500.0
2016-12-28,32500.0
2016-12-29,31500.0
2016-12-30,32000.0
2016-12-31,32000.0
2017-01-01,32000.0
2017-01-02,32000.0
2017-01-03,32500.0
2017-01-04,33750.0
2017-01-05,31750.0
2017-01-06,32000.0
2017-01-07,32000.0
2017-01-08,32000.0
2017-01-09,34500.0
2017-01-10,34000.0
2017-01-11,34000.0
2017-01-12,33000.0
2017-01-13,33000.0
2017-01-14,33000.0
2017-01-15,33000.0
2017-01-16,32250.0
2017-01-17,30500.0
2017-01-18,31000.0
2017-01-19,30750.0
2017-01-20,30750.0
2017-01-21,30750.0
2017-01-22,30750.0
2017-01-23,31000.0
2017-01-24,31000.0
2017-01-25,29500.0
2017-01-26,29500.0
2017-01-27,29500.0
2017-01-28,29500.0
2017-01-29,29500.0
2017-01-30,30000.0
2017-01-31,30000.0
2017-02-01,30000.0
2017-02-02,30750.0
2017-02-03,31750.0
2017-02-04,31750.0
