tanggal,harga-imputed
2016-07-25,34500.0
2016-07-26,34500.0
2016-07-27,35000.0
2016-07-28,34000.0
2016-07-29,34500.0
2016-07-30,34500.0
2016-07-31,34500.0
2016-08-01,34500.0
2016-08-02,34250.0
2016-08-03,39500.0
2016-08-04,42250.0
2016-08-05,44500.0
2016-08-06,44500.0
2016-08-07,44500.0
2016-08-08,37000.0
2016-08-09,37000.0
2016-08-10,34500.0
2016-08-11,35000.0
2016-08-12,35000.0
2016-08-13,35000.0
2016-08-14,35000.0
2016-08-15,37500.0
2016-08-16,37500.0
2016-08-17,37500.0
2016-08-18,35500.0
2016-08-19,42000.0
2016-08-20,42000.0
2016-08-21,42000.0
2016-08-22,40000.0
2016-08-23,35750.0
2016-08-24,40000.0
2016-08-25,40000.0
2016-08-26,38250.0
2016-08-27,38250.0
2016-08-28,38250.0
2016-08-29,38250.0
2016-08-30,35000.0
2016-08-31,37500.0
2016-09-01,38250.0
2016-09-02,38500.0
2016-09-03,38500.0
2016-09-04,38500.0
2016-09-05,39500.0
2016-09-06,39500.0
2016-09-07,35750.0
2016-09-08,36750.0
2016-09-09,35000.0
2016-09-10,35000.0
2016-09-11,35000.0
2016-09-12,35000.0
2016-09-13,35000.0
2016-09-14,33000.0
2016-09-15,33750.0
2016-09-16,30000.0
2016-09-17,30000.0
2016-09-18,30000.0
2016-09-19,31400.0
2016-09-20,31400.0
2016-09-21,27500.0
2016-09-22,25500.0
2016-09-23,26750.0
2016-09-24,26750.0
2016-09-25,26750.0
2016-09-26,30000.0
2016-09-27,26500.0
2016-09-28,27500.0
2016-09-29,28000.0
2016-09-30,27500.0
2016-10-01,27500.0
2016-10-02,27500.0
2016-10-03,30500.0
2016-10-04,30000.0
2016-10-05,29000.0
2016-10-06,29000.0
2016-10-07,28500.0
2016-10-08,28500.0
2016-10-09,28500.0
2016-10-10,31000.0
2016-10-11,30000.0
2016-10-12,32000.0
2016-10-13,33750.0
2016-10-14,33750.0
2016-10-15,33750.0
2016-10-16,33750.0
2016-10-17,35500.0
2016-10-18,35500.0
2016-10-19,41500.0
2016-10-20,39500.0
2016-10-21,37500.0
2016-10-22,37500.0
2016-10-23,37500.0
2016-10-24,40000.0
2016-10-25,41750.0
2016-10-26,40750.0
2016-10-27,44500.0
2016-10-28,42000.0
2016-10-29,42000.0
2016-10-30,42000.0
2016-10-31,44500.0
2016-11-01,45000.0
2016-11-02,44500.0
2016-11-03,43000.0
2016-11-04,42500.0
2016-11-05,42500.0
2016-11-06,42500.0
2016-11-07,44000.0
2016-11-08,45000.0
2016-11-09,44500.0
2016-11-10,45500.0
2016-11-11,40500.0
2016-11-12,40500.0
2016-11-13,40500.0
2016-11-14,45500.0
2016-11-15,44500.0
2016-11-16,44500.0
2016-11-17,44500.0
2016-11-18,43000.0
2016-11-19,43000.0
2016-11-20,43000.0
2016-11-21,45000.0
2016-11-22,37000.0
2016-11-23,40500.0
2016-11-24,40750.0
2016-11-25,47500.0
2016-11-26,47500.0
2016-11-27,47500.0
2016-11-28,48000.0
2016-11-29,47500.0
2016-11-30,47500.0
2016-12-01,48500.0
2016-12-02,49500.0
2016-12-03,49500.0
2016-12-04,49500.0
2016-12-05,55000.0
2016-12-06,59500.0
2016-12-07,50500.0
2016-12-08,50000.0
2016-12-09,62500.0
2016-12-10,62500.0
2016-12-11,62500.0
2016-12-12,62500.0
2016-12-13,63000.0
2016-12-14,65500.0
2016-12-15,65000.0
2016-12-16,65000.0
2016-12-17,65000.0
2016-12-18,65000.0
2016-12-19,65000.0
2016-12-20,69500.0
2016-12-21,69500.0
2016-12-22,70000.0
2016-12-23,70000.0
2016-12-24,70000.0
2016-12-25,70000.0
2016-12-26,70000.0
2016-12-27,80000.0
2016-12-28,81500.0
2016-12-29,79750.0
2016-12-30,80000.0
2016-12-31,80000.0
2017-01-01,80000.0
2017-01-02,80000.0
2017-01-03,95000.0
2017-01-04,90000.0
2017-01-05,85000.0
2017-01-06,83000.0
2017-01-07,83000.0
2017-01-08,83000.0
2017-01-09,85000.0
2017-01-10,85000.0
2017-01-11,80000.0
2017-01-12,75000.0
2017-01-13,75000.0
2017-01-14,75000.0
2017-01-15,75000.0
2017-01-16,75000.0
2017-01-17,75000.0
2017-01-18,75000.0
2017-01-19,75000.0
2017-01-20,75000.0
2017-01-21,75000.0
2017-01-22,75000.0
2017-01-23,80000.0
2017-01-24,85000.0
2017-01-25,85000.0
2017-01-26,90000.0
2017-01-27,90000.0
2017-01-28,90000.0
2017-01-29,90000.0
2017-01-30,90000.0
2017-01-31,90000.0
2017-02-01,90000.0
2017-02-02,90000.0
2017-02-03,95000.0
2017-02-04,95000.0
2017-02-05,95000.0
2017-02-06,95000.0
2017-02-07,95000.0
2017-02-08,97500.0
2017-02-09,97500.0
2017-02-10,97500.0
2017-02-11,97500.0
2017-02-12,97500.0
2017-02-13,95000.0
2017-02-14,95000.0
2017-02-15,95000.0
2017-02-16,80000.0
2017-02-17,75000.0
2017-02-18,75000.0
2017-02-19,75000.0
2017-02-20,75000.0
2017-02-21,75000.0
2017-02-22,75000.0
2017-02-23,75000.0
2017-02-24,75000.0
2017-02-25,75000.0
2017-02-26,75000.0
2017-02-27,70000.0
2017-02-28,65500.0
2017-03-01,65500.0
2017-03-02,65000.0
2017-03-03,70000.0
2017-03-04,70000.0
2017-03-05,70000.0
2017-03-06,65000.0
2017-03-07,65000.0
2017-03-08,65000.0
2017-03-09,65000.0
2017-03-10,65000.0
2017-03-11,65000.0
2017-03-12,65000.0
2017-03-13,75000.0
2017-03-14,70000.0
2017-03-15,70000.0
2017-03-16,70000.0
2017-03-17,65000.0
2017-03-18,65000.0
2017-03-19,65000.0
2017-03-20,65000.0
2017-03-21,65000.0
2017-03-22,65000.0
2017-03-23,65000.0
2017-03-24,60000.0
2017-03-25,60000.0
2017-03-26,60000.0
2017-03-27,60000.0
2017-03-28,60000.0
2017-03-29,60000.0
2017-03-30,60000.0
2017-03-31,53000.0
2017-04-01,53000.0
2017-04-02,53000.0
2017-04-03,53000.0
2017-04-04,48000.0
2017-04-05,48000.0
2017-04-06,43000.0
2017-04-07,43000.0
2017-04-08,43000.0
2017-04-09,43000.0
2017-04-10,43000.0
2017-04-11,43000.0
2017-04-12,43000.0
2017-04-13,43000.0
2017-04-14,43000.0
2017-04-15,43000.0
2017-04-16,43000.0
2017-04-17,45000.0
2017-04-18,45000.0
2017-04-19,45000.0
2017-04-20,40000.0
2017-04-21,40000.0
2017-04-22,40000.0
2017-04-23,40000.0
2017-04-24,40000.0
2017-04-25,45000.0
2017-04-26,45000.0
2017-04-27,45000.0
2017-04-28,45000.0
2017-04-29,45000.0
2017-04-30,45000.0
2017-05-01,45000.0
2017-05-02,45000.0
2017-05-03,45000.0
2017-05-04,45000.0
2017-05-05,45000.0
2017-05-06,45000.0
2017-05-07,45000.0
2017-05-08,45000.0
2017-05-09,45000.0
2017-05-10,45000.0
2017-05-11,45000.0
2017-05-12,40000.0
2017-05-13,40000.0
2017-05-14,40000.0
2017-05-15,40000.0
2017-05-16,40000.0
2017-05-17,40000.0
2017-05-18,40000.0
2017-05-19,40000.0
2017-05-20,40000.0
2017-05-21,40000.0
2017-05-22,35000.0
2017-05-23,35000.0
2017-05-24,35000.0
2017-05-25,35000.0
2017-05-26,35000.0
2017-05-27,35000.0
2017-05-28,35000.0
2017-05-29,35000.0
2017-05-30,35000.0
2017-05-31,35000.0
2017-06-01,35000.0
2017-06-02,35000.0
2017-06-03,35000.0
2017-06-04,35000.0
2017-06-05,30500.0
2017-06-06,30500.0
2017-06-07,30500.0
2017-06-08,30500.0
2017-06-09,30500.0
2017-06-10,30500.0
2017-06-11,30500.0
2017-06-12,30500.0
2017-06-13,30500.0
2017-06-14,30500.0
