tanggal,harga-imputed
2016-07-25,12850.0
2016-07-26,12850.0
2016-07-27,12850.0
2016-07-28,12850.0
2016-07-29,12850.0
2016-07-30,12850.0
2016-07-31,12850.0
2016-08-01,12850.0
2016-08-02,13300.0
2016-08-03,13300.0
2016-08-04,13300.0
2016-08-05,13300.0
2016-08-06,13300.0
2016-08-07,13300.0
2016-08-08,12800.0
2016-08-09,12800.0
2016-08-10,12800.0
2016-08-11,12800.0
2016-08-12,12800.0
2016-08-13,12800.0
2016-08-14,12800.0
2016-08-15,12900.0
2016-08-16,12900.0
2016-08-17,12900.0
2016-08-18,13200.0
2016-08-19,13200.0
2016-08-20,13200.0
2016-08-21,13200.0
2016-08-22,13700.0
2016-08-23,13750.0
2016-08-24,13850.0
2016-08-25,13900.0
2016-08-26,13900.0
2016-08-27,13900.0
2016-08-28,13900.0
2016-08-29,13850.0
2016-08-30,13850.0
2016-08-31,13850.0
2016-09-01,13950.0
2016-09-02,13900.0
2016-09-03,13900.0
2016-09-04,13900.0
2016-09-05,13900.0
2016-09-06,13900.0
2016-09-07,13900.0
2016-09-08,13950.0
2016-09-09,13950.0
2016-09-10,13950.0
2016-09-11,13950.0
2016-09-12,13950.0
2016-09-13,13950.0
2016-09-14,13950.0
2016-09-15,13950.0
2016-09-16,13950.0
2016-09-17,13950.0
2016-09-18,13950.0
2016-09-19,13950.0
2016-09-20,13950.0
2016-09-21,13950.0
2016-09-22,13950.0
2016-09-23,13950.0
2016-09-24,13950.0
2016-09-25,13950.0
2016-09-26,13800.0
2016-09-27,13800.0
2016-09-28,13750.0
2016-09-29,13750.0
2016-09-30,13750.0
2016-10-01,13750.0
2016-10-02,13750.0
2016-10-03,13750.0
2016-10-04,13750.0
2016-10-05,13800.0
2016-10-06,13700.0
2016-10-07,13700.0
2016-10-08,13700.0
2016-10-09,13700.0
2016-10-10,13800.0
2016-10-11,13800.0
2016-10-12,13800.0
2016-10-13,13950.0
2016-10-14,13950.0
2016-10-15,13950.0
2016-10-16,13950.0
2016-10-17,13700.0
2016-10-18,13700.0
2016-10-19,13700.0
2016-10-20,13700.0
2016-10-21,14150.0
2016-10-22,14150.0
2016-10-23,14150.0
2016-10-24,13950.0
2016-10-25,13950.0
2016-10-26,13950.0
2016-10-27,13950.0
2016-10-28,13950.0
2016-10-29,13950.0
2016-10-30,13950.0
2016-10-31,13350.0
2016-11-01,13350.0
2016-11-02,13600.0
2016-11-03,13600.0
2016-11-04,13600.0
2016-11-05,13600.0
2016-11-06,13600.0
2016-11-07,13650.0
2016-11-08,13650.0
2016-11-09,13650.0
2016-11-10,13750.0
2016-11-11,13750.0
2016-11-12,13750.0
2016-11-13,13750.0
2016-11-14,13800.0
2016-11-15,13800.0
2016-11-16,13650.0
2016-11-17,13650.0
2016-11-18,13600.0
2016-11-19,13600.0
2016-11-20,13600.0
2016-11-21,13450.0
2016-11-22,13450.0
2016-11-23,13450.0
2016-11-24,13450.0
2016-11-25,13750.0
2016-11-26,13750.0
2016-11-27,13750.0
2016-11-28,13750.0
2016-11-29,13750.0
2016-11-30,13250.0
2016-12-01,13250.0
2016-12-02,13250.0
2016-12-03,13250.0
2016-12-04,13250.0
2016-12-05,12850.0
2016-12-06,13100.0
2016-12-07,13300.0
2016-12-08,13300.0
2016-12-09,13300.0
2016-12-10,13300.0
2016-12-11,13300.0
2016-12-12,13300.0
2016-12-13,13450.0
2016-12-14,13450.0
2016-12-15,13450.0
2016-12-16,13450.0
2016-12-17,13450.0
2016-12-18,13450.0
2016-12-19,13450.0
2016-12-20,13450.0
2016-12-21,13550.0
2016-12-22,13550.0
2016-12-23,13400.0
2016-12-24,13400.0
2016-12-25,13400.0
2016-12-26,13400.0
2016-12-27,13600.0
2016-12-28,13600.0
2016-12-29,13600.0
2016-12-30,13600.0
2016-12-31,13600.0
2017-01-01,13600.0
2017-01-02,13600.0
2017-01-03,13700.0
2017-01-04,13700.0
2017-01-05,13700.0
2017-01-06,13600.0
2017-01-07,13600.0
2017-01-08,13600.0
2017-01-09,13300.0
2017-01-10,13350.0
2017-01-11,13350.0
2017-01-12,13350.0
2017-01-13,13450.0
2017-01-14,13450.0
2017-01-15,13450.0
2017-01-16,13600.0
2017-01-17,13600.0
2017-01-18,13650.0
2017-01-19,13650.0
2017-01-20,13650.0
2017-01-21,13650.0
2017-01-22,13650.0
2017-01-23,13850.0
2017-01-24,13850.0
2017-01-25,13850.0
2017-01-26,13850.0
2017-01-27,13850.0
2017-01-28,13850.0
2017-01-29,13850.0
2017-01-30,13850.0
2017-01-31,13850.0
2017-02-01,13850.0
2017-02-02,13950.0
2017-02-03,13950.0
2017-02-04,13950.0
2017-02-05,13950.0
2017-02-06,14000.0
2017-02-07,13950.0
2017-02-08,13950.0
2017-02-09,13950.0
2017-02-10,13950.0
2017-02-11,13950.0
2017-02-12,13950.0
2017-02-13,14000.0
2017-02-14,14000.0
2017-02-15,14000.0
2017-02-16,14100.0
2017-02-17,14150.0
2017-02-18,14150.0
2017-02-19,14150.0
2017-02-20,14200.0
2017-02-21,14200.0
2017-02-22,14200.0
2017-02-23,14250.0
2017-02-24,14250.0
2017-02-25,14250.0
2017-02-26,14250.0
2017-02-27,14250.0
2017-02-28,14250.0
2017-03-01,14250.0
2017-03-02,14150.0
2017-03-03,14150.0
2017-03-04,14150.0
2017-03-05,14150.0
2017-03-06,14150.0
2017-03-07,14150.0
2017-03-08,14150.0
2017-03-09,14550.0
2017-03-10,14550.0
2017-03-11,14550.0
2017-03-12,14550.0
2017-03-13,14400.0
2017-03-14,14400.0
2017-03-15,14100.0
2017-03-16,14050.0
2017-03-17,14050.0
2017-03-18,14050.0
2017-03-19,14050.0
2017-03-20,14050.0
2017-03-21,14050.0
2017-03-22,14050.0
2017-03-23,14050.0
2017-03-24,14050.0
2017-03-25,14050.0
2017-03-26,14050.0
2017-03-27,14050.0
2017-03-28,14050.0
2017-03-29,14050.0
2017-03-30,14050.0
2017-03-31,14050.0
2017-04-01,14050.0
2017-04-02,14050.0
2017-04-03,13950.0
2017-04-04,13950.0
2017-04-05,13950.0
2017-04-06,13950.0
2017-04-07,13950.0
2017-04-08,13950.0
2017-04-09,13950.0
2017-04-10,13900.0
2017-04-11,13900.0
2017-04-12,13900.0
2017-04-13,13900.0
2017-04-14,13900.0
2017-04-15,13900.0
2017-04-16,13900.0
2017-04-17,13900.0
2017-04-18,13900.0
2017-04-19,13850.0
2017-04-20,13850.0
2017-04-21,13850.0
2017-04-22,13850.0
2017-04-23,13850.0
2017-04-24,13850.0
2017-04-25,13850.0
2017-04-26,13850.0
2017-04-27,13850.0
2017-04-28,13850.0
2017-04-29,13850.0
2017-04-30,13850.0
2017-05-01,13850.0
2017-05-02,13850.0
2017-05-03,13850.0
2017-05-04,13850.0
2017-05-05,13850.0
2017-05-06,13850.0
2017-05-07,13850.0
2017-05-08,13850.0
2017-05-09,13850.0
2017-05-10,13850.0
2017-05-11,13850.0
2017-05-12,13850.0
2017-05-13,13850.0
2017-05-14,13850.0
2017-05-15,13850.0
2017-05-16,13850.0
2017-05-17,13850.0
2017-05-18,13850.0
2017-05-19,13850.0
2017-05-20,13850.0
2017-05-21,13850.0
2017-05-22,13850.0
2017-05-23,13850.0
2017-05-24,13850.0
2017-05-25,13850.0
2017-05-26,13850.0
2017-05-27,13850.0
2017-05-28,13850.0
2017-05-29,13850.0
2017-05-30,13850.0
2017-05-31,13850.0
2017-06-01,13850.0
2017-06-02,13850.0
2017-06-03,13850.0
2017-06-04,13850.0
2017-06-05,13850.0
2017-06-06,13850.0
2017-06-07,13850.0
2017-06-08,13850.0
2017-06-09,13850.0
2017-06-10,13850.0
2017-06-11,13850.0
2017-06-12,13850.0
2017-06-13,13850.0
2017-06-14,13850.0
2017-06-15,13850.0
2017-06-16,13850.0
2017-06-17,13850.0
2017-06-18,13850.0
2017-06-19,13850.0
2017-06-20,13850.0
2017-06-21,13850.0
2017-06-22,13850.0
2017-06-23,13850.0
2017-06-24,13850.0
2017-06-25,13850.0
2017-06-26,13850.0
2017-06-27,13850.0
2017-06-28,13850.0
2017-06-29,13850.0
2017-06-30,13850.0
2017-07-01,13850.0
2017-07-02,13850.0
2017-07-03,13850.0
2017-07-04,13850.0
2017-07-05,13850.0
2017-07-06,13850.0
2017-07-07,13850.0
2017-07-08,13850.0
2017-07-09,13850.0
2017-07-10,13850.0
2017-07-11,13850.0
2017-07-12,13850.0
2017-07-13,13850.0
2017-07-14,13850.0
2017-07-15,13850.0
2017-07-16,13850.0
2017-07-17,13850.0
2017-07-18,13850.0
2017-07-19,13850.0
2017-07-20,13850.0
2017-07-21,13850.0
2017-07-22,13850.0
2017-07-23,13850.0
2017-07-24,13850.0
2017-07-25,13850.0
2017-07-26,13850.0
2017-07-27,13850.0
2017-07-28,13850.0
2017-07-29,13850.0
2017-07-30,13850.0
2017-07-31,13850.0
2017-08-01,13850.0
2017-08-02,13850.0
2017-08-03,13850.0
2017-08-04,13650.0
2017-08-05,13650.0
2017-08-06,13650.0
2017-08-07,13650.0
2017-08-08,13650.0
2017-08-09,13650.0
2017-08-10,13650.0
2017-08-11,13650.0
2017-08-12,13650.0
2017-08-13,13650.0
2017-08-14,13650.0
2017-08-15,13650.0
2017-08-16,13650.0
2017-08-17,13650.0
2017-08-18,13650.0
2017-08-19,13650.0
2017-08-20,13650.0
2017-08-21,13650.0
2017-08-22,13650.0
2017-08-23,13650.0
2017-08-24,13650.0
2017-08-25,13650.0
2017-08-26,13650.0
2017-08-27,13650.0
2017-08-28,13650.0
2017-08-29,13650.0
2017-08-30,13650.0
2017-08-31,13650.0
2017-09-01,13650.0
2017-09-02,13650.0
2017-09-03,13650.0
2017-09-04,13650.0
2017-09-05,13650.0
2017-09-06,13650.0
2017-09-07,13650.0
2017-09-08,13650.0
2017-09-09,13650.0
2017-09-10,13650.0
2017-09-11,13650.0
2017-09-12,13650.0
2017-09-13,13650.0
2017-09-14,13650.0
2017-09-15,13650.0
2017-09-16,13650.0
2017-09-17,13650.0
2017-09-18,13650.0
2017-09-19,13650.0
2017-09-20,13650.0
2017-09-21,13650.0
2017-09-22,13650.0
2017-09-23,13650.0
2017-09-24,13650.0
2017-09-25,13650.0
2017-09-26,13650.0
2017-09-27,13650.0
2017-09-28,13650.0
2017-09-29,13650.0
2017-09-30,13650.0
2017-10-01,13650.0
2017-10-02,13650.0
2017-10-03,13650.0
2017-10-04,13650.0
2017-10-05,13650.0
2017-10-06,13650.0
2017-10-07,13650.0
2017-10-08,13650.0
2017-10-09,13650.0
2017-10-10,13650.0
2017-10-11,13650.0
2017-10-12,13650.0
2017-10-13,13650.0
2017-10-14,13650.0
2017-10-15,13650.0
2017-10-16,13650.0
2017-10-17,13650.0
2017-10-18,13650.0
2017-10-19,13650.0
2017-10-20,13650.0
2017-10-21,13650.0
2017-10-22,13650.0
2017-10-23,13650.0
2017-10-24,13650.0
2017-10-25,13650.0
2017-10-26,13650.0
2017-10-27,13650.0
2017-10-28,13650.0
2017-10-29,13650.0
2017-10-30,13650.0
2017-10-31,13650.0
2017-11-01,13650.0
2017-11-02,13650.0
2017-11-03,13650.0
2017-11-04,13650.0
2017-11-05,13650.0
2017-11-06,13650.0
2017-11-07,13650.0
2017-11-08,13650.0
2017-11-09,13700.0
2017-11-10,13700.0
2017-11-11,13700.0
2017-11-12,13700.0
2017-11-13,13700.0
2017-11-14,13700.0
2017-11-15,13700.0
2017-11-16,13700.0
2017-11-17,13700.0
2017-11-18,13700.0
2017-11-19,13700.0
2017-11-20,13700.0
2017-11-21,13700.0
2017-11-22,13650.0
2017-11-23,13700.0
2017-11-24,13700.0
2017-11-25,13700.0
2017-11-26,13700.0
2017-11-27,13700.0
2017-11-28,13700.0
2017-11-29,13700.0
2017-11-30,13700.0
2017-12-01,13700.0
2017-12-02,13700.0
2017-12-03,13700.0
2017-12-04,13700.0
2017-12-05,13700.0
2017-12-06,13700.0
2017-12-07,13700.0
2017-12-08,13700.0
2017-12-09,13700.0
2017-12-10,13700.0
2017-12-11,13700.0
2017-12-12,13700.0
2017-12-13,13700.0
2017-12-14,13700.0
