tanggal,harga
2016-07-25,35000.0
2016-07-26,35000.0
2016-07-27,35000.0
2016-07-28,35000.0
2016-07-29,36000.0
2016-08-01,35750.0
2016-08-02,34650.0
2016-08-03,34750.0
2016-08-04,36700.0
2016-08-05,37200.0
2016-08-08,33500.0
2016-08-09,30500.0
2016-08-10,31400.0
2016-08-11,31000.0
2016-08-12,30500.0
2016-08-15,29250.0
2016-08-16,29250.0
2016-08-18,32000.0
2016-08-19,32150.0
2016-08-22,32000.0
2016-08-23,31150.0
2016-08-24,32250.0
2016-08-25,32650.0
2016-08-26,31500.0
2016-08-29,30000.0
2016-08-30,31750.0
2016-08-31,35400.0
2016-09-01,36000.0
2016-09-02,36650.0
2016-09-05,47500.0
2016-09-06,49250.0
2016-09-07,50500.0
2016-09-08,51250.0
2016-09-09,54500.0
2016-09-13,49250.0
2016-09-14,47000.0
2016-09-15,47500.0
2016-09-16,44500.0
2016-09-19,39500.0
2016-09-20,38500.0
2016-09-21,38750.0
2016-09-22,38000.0
2016-09-23,39150.0
2016-09-26,42500.0
2016-09-27,43750.0
2016-09-28,48000.0
2016-09-29,49900.0
2016-09-30,54750.0
2016-10-03,58250.0
2016-10-04,59750.0
2016-10-05,60500.0
2016-10-06,62000.0
2016-10-07,59500.0
2016-10-10,66000.0
2016-10-11,66750.0
2016-10-12,69500.0
2016-10-13,72250.0
2016-10-14,73150.0
2016-10-17,70000.0
2016-10-18,74750.0
2016-10-19,69750.0
2016-10-20,72500.0
2016-10-21,72750.0
2016-10-24,65000.0
2016-10-25,68650.0
2016-10-26,70900.0
2016-10-27,69900.0
2016-10-28,70150.0
2016-10-31,77400.0
2016-11-01,75650.0
2016-11-02,77500.0
2016-11-03,76750.0
2016-11-04,79000.0
2016-11-07,78250.0
2016-11-08,77250.0
2016-11-09,77400.0
2016-11-10,68000.0
2016-11-11,65000.0
2016-11-14,72750.0
2016-11-15,72500.0
2016-11-16,69000.0
2016-11-17,71000.0
2016-11-18,66900.0
2016-11-21,67900.0
2016-11-22,65250.0
2016-11-23,65000.0
2016-11-24,62500.0
2016-11-25,65750.0
2016-11-28,60250.0
2016-11-29,55000.0
2016-11-30,57150.0
2016-12-01,58000.0
2016-12-02,54650.0
2016-12-05,57250.0
2016-12-06,57500.0
2016-12-07,56500.0
2016-12-08,57000.0
2016-12-09,57250.0
2016-12-13,59000.0
2016-12-14,59500.0
2016-12-15,60000.0
2016-12-16,60000.0
2016-12-19,59000.0
2016-12-20,57500.0
2016-12-21,56750.0
2016-12-22,55000.0
2016-12-23,48250.0
2016-12-27,40000.0
2016-12-28,40000.0
2016-12-29,40000.0
2016-12-30,40000.0
