tanggal,harga
2016-07-25,21250.0
2016-07-26,21250.0
2016-07-27,21750.0
2016-07-28,21750.0
2016-07-29,21750.0
2016-08-01,22000.0
2016-08-02,22750.0
2016-08-03,22750.0
2016-08-04,22250.0
2016-08-05,22500.0
2016-08-08,22500.0
2016-08-09,22000.0
2016-08-10,22000.0
2016-08-11,22000.0
2016-08-12,22400.0
2016-08-15,21250.0
2016-08-16,21250.0
2016-08-18,20750.0
2016-08-19,20750.0
2016-08-22,20250.0
2016-08-23,20500.0
2016-08-24,20500.0
2016-08-25,20500.0
2016-08-26,20500.0
2016-08-29,19900.0
2016-08-30,19900.0
2016-08-31,19500.0
2016-09-01,20000.0
2016-09-02,20000.0
2016-09-05,20000.0
2016-09-06,20000.0
2016-09-07,20000.0
2016-09-08,19900.0
2016-09-09,19900.0
2016-09-13,19650.0
2016-09-14,19650.0
2016-09-15,19650.0
2016-09-16,19650.0
2016-09-19,19650.0
2016-09-20,19650.0
2016-09-21,19650.0
2016-09-22,19400.0
2016-09-23,19400.0
2016-09-26,19750.0
2016-09-27,19750.0
2016-09-28,19750.0
2016-09-29,19250.0
2016-09-30,19000.0
2016-10-03,19000.0
2016-10-04,19000.0
2016-10-05,19150.0
2016-10-06,19150.0
2016-10-07,19150.0
2016-10-10,18900.0
2016-10-11,18900.0
2016-10-12,20000.0
2016-10-13,19900.0
2016-10-14,19900.0
2016-10-17,19400.0
2016-10-18,19400.0
2016-10-19,19400.0
2016-10-20,19150.0
2016-10-21,18900.0
2016-10-24,18900.0
2016-10-25,18900.0
2016-10-26,18500.0
2016-10-27,18500.0
2016-10-28,18750.0
2016-10-31,18650.0
2016-11-01,18650.0
2016-11-02,18650.0
2016-11-03,18250.0
2016-11-04,18400.0
2016-11-07,18250.0
2016-11-08,18250.0
2016-11-09,18000.0
2016-11-10,18000.0
2016-11-11,18000.0
2016-11-14,18250.0
2016-11-15,18650.0
2016-11-16,18650.0
2016-11-17,18000.0
2016-11-18,17650.0
2016-11-21,17500.0
2016-11-22,17750.0
2016-11-23,17750.0
2016-11-24,17750.0
2016-11-25,17750.0
2016-11-28,18000.0
2016-11-29,18000.0
2016-11-30,18750.0
2016-12-01,18750.0
2016-12-02,18400.0
2016-12-05,19400.0
2016-12-06,19900.0
2016-12-07,20250.0
2016-12-08,20250.0
2016-12-09,20750.0
2016-12-13,21400.0
2016-12-14,21400.0
2016-12-15,21650.0
2016-12-16,22150.0
2016-12-19,22650.0
2016-12-20,23500.0
2016-12-21,23750.0
2016-12-22,23250.0
2016-12-23,23250.0
2016-12-27,23000.0
2016-12-28,23000.0
2016-12-29,22650.0
2016-12-30,22250.0
2017-01-03,21500.0
2017-01-04,21500.0
2017-01-05,20650.0
2017-01-06,21000.0
2017-01-09,20500.0
2017-01-10,20750.0
2017-01-11,20250.0
2017-01-12,20250.0
2017-01-13,20000.0
2017-01-16,19900.0
2017-01-17,19750.0
2017-01-18,19750.0
2017-01-19,19750.0
2017-01-20,19750.0
2017-01-23,19500.0
2017-01-24,19500.0
2017-01-25,19500.0
2017-01-26,19500.0
2017-01-27,19500.0
2017-01-30,19650.0
2017-01-31,19650.0
2017-02-01,19650.0
2017-02-02,19650.0
2017-02-03,19650.0
2017-02-06,19650.0
2017-02-07,19650.0
2017-02-08,19650.0
2017-02-09,19650.0
2017-02-10,19650.0
2017-02-13,19650.0
2017-02-14,19650.0
2017-02-16,19650.0
2017-02-17,19500.0
2017-02-20,19000.0
2017-02-21,19000.0
2017-02-22,19000.0
2017-02-23,18750.0
2017-02-24,18750.0
2017-02-27,18750.0
2017-02-28,18650.0
2017-03-01,18650.0
2017-03-02,18500.0
2017-03-03,18500.0
2017-03-06,18500.0
2017-03-07,18500.0
2017-03-08,18500.0
2017-03-09,18500.0
2017-03-10,18000.0
2017-03-13,18000.0
2017-03-14,19250.0
2017-03-15,19650.0
2017-03-16,19650.0
2017-03-17,19500.0
2017-03-20,19150.0
2017-03-21,19150.0
2017-03-22,19150.0
2017-03-23,19150.0
2017-03-24,19150.0
2017-03-27,19150.0
2017-03-29,19000.0
2017-03-30,19000.0
2017-03-31,19000.0
2017-04-03,18750.0
2017-04-04,18750.0
2017-04-05,18750.0
2017-04-06,18750.0
2017-04-07,18750.0
2017-04-10,18650.0
2017-04-11,18650.0
2017-04-12,18500.0
2017-04-13,18250.0
2017-04-17,18250.0
2017-04-18,18250.0
2017-04-19,18750.0
2017-04-20,18750.0
2017-04-21,19000.0
2017-04-25,20000.0
2017-04-26,20000.0
2017-04-27,20400.0
2017-04-28,20500.0
2017-05-02,20400.0
2017-05-03,20650.0
2017-05-04,20750.0
2017-05-05,20750.0
2017-05-08,22000.0
2017-05-09,22000.0
2017-05-10,22000.0
2017-05-12,22250.0
2017-05-15,22250.0
2017-05-16,22250.0
2017-05-17,22650.0
2017-05-18,23000.0
2017-05-19,23000.0
2017-05-22,22750.0
2017-05-23,22750.0
2017-05-24,22750.0
2017-05-26,22500.0
2017-05-29,21750.0
2017-05-30,21500.0
2017-05-31,21400.0
2017-06-02,21400.0
2017-06-05,21150.0
2017-06-06,21150.0
2017-06-07,21000.0
2017-06-08,20500.0
2017-06-09,20500.0
2017-06-12,19900.0
2017-06-13,19900.0
2017-06-14,20150.0
2017-06-15,20250.0
2017-06-16,20250.0
2017-06-19,20250.0
2017-06-20,20250.0
2017-06-21,20500.0
2017-06-22,20500.0
2017-07-03,20500.0
2017-07-04,20500.0
2017-07-05,20500.0
2017-07-06,20500.0
2017-07-07,20500.0
2017-07-10,20750.0
2017-07-11,21500.0
2017-07-12,21500.0
2017-07-13,21500.0
2017-07-14,21750.0
2017-07-17,22250.0
2017-07-18,22250.0
2017-07-19,22250.0
2017-07-20,22250.0
2017-07-21,22250.0
2017-07-24,24400.0
2017-07-25,24400.0
2017-07-26,24150.0
2017-07-27,24150.0
2017-07-28,23750.0
2017-07-31,23500.0
2017-08-01,23750.0
2017-08-02,23500.0
2017-08-03,23500.0
2017-08-04,22750.0
2017-08-07,22750.0
2017-08-08,22750.0
2017-08-09,22250.0
2017-08-10,22250.0
2017-08-11,22000.0
2017-08-14,21500.0
2017-08-15,21000.0
2017-08-16,21000.0
2017-08-18,21500.0
2017-08-21,21500.0
2017-08-22,21250.0
2017-08-23,21250.0
2017-08-24,21250.0
2017-08-25,21250.0
2017-08-28,21500.0
2017-08-29,21500.0
2017-08-30,21500.0
2017-08-31,21500.0
2017-09-04,21500.0
2017-09-05,22000.0
2017-09-06,22000.0
2017-09-07,21500.0
2017-09-08,21500.0
2017-09-11,22000.0
2017-09-12,22000.0
2017-09-13,22000.0
2017-09-14,21000.0
2017-09-15,21000.0
2017-09-18,21000.0
2017-09-19,21150.0
2017-09-20,21150.0
2017-09-22,21150.0
2017-09-25,21150.0
2017-09-26,21150.0
2017-09-27,21150.0
2017-09-28,20750.0
2017-09-29,20750.0
2017-10-02,21000.0
2017-10-03,20750.0
2017-10-04,20750.0
2017-10-05,20500.0
2017-10-06,20500.0
2017-10-09,20750.0
2017-10-10,20750.0
2017-10-11,21900.0
2017-10-12,22000.0
2017-10-13,22000.0
2017-10-16,21750.0
2017-10-17,21750.0
2017-10-18,21750.0
2017-10-19,21750.0
2017-10-20,21750.0
2017-10-23,21000.0
2017-10-24,21000.0
2017-10-25,20900.0
2017-10-26,20900.0
2017-10-27,20900.0
2017-10-30,20500.0
2017-10-31,21000.0
2017-11-01,21000.0
2017-11-02,21000.0
2017-11-03,21000.0
2017-11-06,20750.0
2017-11-07,20750.0
2017-11-08,20750.0
2017-11-09,20750.0
2017-11-10,21150.0
2017-11-13,20750.0
2017-11-14,20900.0
2017-11-15,20900.0
2017-11-16,21500.0
2017-11-17,21500.0
2017-11-20,21650.0
2017-11-21,21650.0
2017-11-22,22250.0
2017-11-23,22900.0
2017-11-24,23000.0
2017-11-27,23750.0
2017-11-28,23750.0
2017-11-29,23750.0
2017-11-30,23750.0
2017-12-04,24000.0
2017-12-05,24000.0
2017-12-06,24000.0
2017-12-07,24000.0
2017-12-08,24000.0
2017-12-11,24500.0
2017-12-12,24500.0
2017-12-13,24650.0
2017-12-14,24650.0
2017-12-15,25000.0
2017-12-18,26000.0
2017-12-19,26000.0
2017-12-20,26000.0
2017-12-21,26000.0
2017-12-22,26000.0
2017-12-27,26150.0
2017-12-28,26150.0
2017-12-29,26150.0
2018-01-02,28750.0
2018-01-03,28750.0
2018-01-04,26250.0
2018-01-05,26250.0
2018-01-08,25000.0
2018-01-09,25000.0
2018-01-10,25000.0
2018-01-11,25000.0
2018-01-12,24150.0
2018-01-15,23650.0
2018-01-16,23650.0
2018-01-17,23650.0
2018-01-18,23650.0
2018-01-19,23650.0
2018-01-22,23000.0
2018-01-23,23250.0
2018-01-24,23000.0
2018-01-25,22750.0
2018-01-26,23000.0
2018-01-29,19900.0
2018-01-30,22250.0
2018-01-31,22250.0
2018-02-01,22650.0
2018-02-02,22650.0
2018-02-05,22250.0
2018-02-06,22250.0
2018-02-07,22250.0
2018-02-08,22250.0
2018-02-09,22000.0
2018-02-12,22250.0
2018-02-13,23000.0
2018-02-14,23250.0
2018-02-15,23250.0
2018-02-19,23250.0
2018-02-20,23500.0
2018-02-21,23500.0
2018-02-22,23000.0
2018-02-23,22750.0
2018-02-26,22750.0
2018-02-27,23150.0
2018-02-28,23150.0
2018-03-01,22900.0
2018-03-02,22900.0
2018-03-05,22900.0
2018-03-06,22750.0
2018-03-07,22750.0
2018-03-08,23000.0
2018-03-09,23000.0
2018-03-12,22750.0
2018-03-13,22650.0
2018-03-14,22250.0
2018-03-15,22000.0
2018-03-16,22000.0
2018-03-19,21500.0
2018-03-20,21250.0
2018-03-21,21250.0
2018-03-22,21500.0
2018-03-23,21500.0
2018-03-26,21500.0
2018-03-27,21500.0
2018-03-28,21500.0
2018-03-29,21500.0
2018-04-02,21500.0
2018-04-03,21500.0
2018-04-04,21500.0
2018-04-05,21500.0
2018-04-06,21500.0
2018-04-09,21500.0
2018-04-10,24000.0
2018-04-11,24000.0
2018-04-12,24000.0
2018-04-13,24000.0
2018-04-16,23750.0
2018-04-17,23750.0
2018-04-18,23500.0
2018-04-19,23500.0
2018-04-20,23500.0
2018-04-23,24000.0
2018-04-24,24000.0
2018-04-25,24000.0
2018-04-26,24000.0
2018-04-27,23750.0
2018-04-30,23750.0
2018-05-02,24250.0
2018-05-03,25000.0
2018-05-04,25250.0
2018-05-07,26000.0
2018-05-08,26000.0
2018-05-09,26000.0
2018-05-11,26000.0
2018-05-14,26250.0
2018-05-15,26250.0
2018-05-16,26500.0
2018-05-17,26500.0
2018-05-18,26250.0
2018-05-21,25500.0
2018-05-22,25250.0
2018-05-23,25250.0
2018-05-24,25250.0
2018-05-25,24750.0
2018-05-28,24000.0
2018-05-30,23500.0
2018-05-31,23250.0
2018-06-01,23250.0
2018-06-04,23500.0
2018-06-05,23500.0
2018-06-06,23000.0
2018-06-07,23000.0
2018-06-08,24000.0
2018-06-11,23750.0
2018-06-12,23750.0
2018-06-13,24250.0
2018-06-14,24250.0
2018-06-18,24250.0
2018-06-19,24250.0
2018-06-20,24250.0
2018-06-21,24500.0
2018-06-22,24250.0
2018-06-25,24250.0
2018-06-26,24250.0
2018-06-27,24250.0
2018-06-28,24250.0
2018-06-29,25000.0
2018-07-02,25750.0
2018-07-03,26000.0
2018-07-04,26000.0
2018-07-05,26500.0
2018-07-06,27000.0
2018-07-09,28750.0
2018-07-10,29000.0
2018-07-11,29000.0
2018-07-12,29000.0
2018-07-13,29000.0
2018-07-16,29250.0
2018-07-17,28500.0
2018-07-18,28250.0
2018-07-19,28500.0
2018-07-20,27500.0
2018-07-23,27250.0
2018-07-24,27000.0
2018-07-25,26000.0
2018-07-26,25750.0
2018-07-27,25500.0
2018-07-30,24750.0
2018-07-31,24750.0
2018-08-01,24500.0
2018-08-02,24500.0
2018-08-03,24250.0
2018-08-06,24250.0
2018-08-07,24250.0
2018-08-08,24250.0
2018-08-09,24250.0
2018-08-10,23500.0
2018-08-13,23000.0
2018-08-14,22750.0
2018-08-15,22750.0
2018-08-16,23750.0
2018-08-20,23500.0
2018-08-21,23500.0
2018-08-23,23500.0
2018-08-24,23500.0
2018-08-27,23250.0
2018-08-28,23250.0
2018-08-29,23500.0
2018-08-30,23500.0
2018-08-31,23500.0
2018-09-03,23000.0
2018-09-04,23000.0
2018-09-05,23000.0
2018-09-06,23000.0
2018-09-07,23000.0
2018-09-10,23000.0
2018-09-12,23000.0
2018-09-13,22750.0
2018-09-14,23000.0
2018-09-17,23000.0
2018-09-18,22250.0
2018-09-19,22250.0
2018-09-20,22250.0
2018-09-21,22250.0
2018-09-24,21750.0
2018-09-25,21750.0
2018-09-26,21500.0
2018-09-27,21500.0
2018-09-28,21500.0
2018-10-01,21250.0
2018-10-02,22000.0
2018-10-03,22250.0
2018-10-04,22400.0
2018-10-05,22400.0
2018-10-08,22400.0
2018-10-09,22400.0
2018-10-10,22650.0
2018-10-11,22250.0
2018-10-12,22000.0
2018-10-15,21500.0
2018-10-16,21500.0
2018-10-17,21500.0
2018-10-18,21500.0
2018-10-19,21500.0
2018-10-22,21500.0
2018-10-23,21500.0
2018-10-24,21500.0
2018-10-25,21500.0
2018-10-26,21500.0
2018-10-29,21500.0
2018-10-30,21750.0
2018-10-31,22000.0
2018-11-01,22000.0
2018-11-02,22000.0
2018-11-05,22000.0
2018-11-06,22000.0
2018-11-07,22000.0
2018-11-08,21900.0
2018-11-09,22150.0
2018-11-12,22500.0
2018-11-13,22750.0
2018-11-14,23250.0
2018-11-15,23500.0
2018-11-16,23750.0
2018-11-19,24000.0
2018-11-21,24250.0
2018-11-22,24250.0
2018-11-23,24000.0
2018-11-26,24000.0
2018-11-27,24250.0
2018-11-28,24500.0
2018-11-29,24500.0
2018-11-30,24500.0
2018-12-03,25750.0
2018-12-04,26250.0
2018-12-05,26250.0
2018-12-06,26500.0
2018-12-07,26500.0
2018-12-10,26750.0
2018-12-11,26750.0
2018-12-12,26500.0
2018-12-13,26750.0
2018-12-14,26750.0
2018-12-17,26750.0
2018-12-18,26500.0
2018-12-19,26750.0
2018-12-20,26750.0
2018-12-21,26750.0
2018-12-24,26750.0
2018-12-26,26750.0
2018-12-27,26750.0
2018-12-28,27000.0
2018-12-31,27250.0
2019-01-02,26750.0
2019-01-03,26750.0
2019-01-04,26650.0
2019-01-07,26650.0
2019-01-08,26650.0
2019-01-09,26650.0
2019-01-10,26400.0
2019-01-11,26150.0
2019-01-14,25750.0
2019-01-15,25750.0
2019-01-16,25750.0
2019-01-17,25250.0
2019-01-18,25250.0
2019-01-21,24750.0
2019-01-22,24500.0
2019-01-23,24500.0
2019-01-24,24500.0
2019-01-25,24500.0
2019-01-28,24250.0
2019-01-29,24000.0
2019-01-30,24000.0
2019-01-31,24000.0
2019-02-01,24000.0
2019-02-04,24250.0
2019-02-06,24250.0
2019-02-07,24500.0
2019-02-08,24500.0
2019-02-11,24250.0
2019-02-12,24000.0
2019-02-13,24000.0
2019-02-14,24000.0
2019-02-15,24000.0
2019-02-18,24000.0
2019-02-19,24000.0
2019-02-20,24000.0
2019-02-21,23750.0
2019-02-22,23650.0
2019-02-25,23150.0
2019-02-26,23150.0
2019-02-27,23150.0
2019-02-28,22750.0
2019-03-01,22750.0
2019-03-04,23000.0
2019-03-05,23000.0
2019-03-06,23000.0
2019-03-08,23000.0
2019-03-11,22750.0
2019-03-12,22650.0
2019-03-13,22650.0
2019-03-14,22650.0
2019-03-15,22650.0
2019-03-18,22650.0
2019-03-19,22650.0
2019-03-20,22750.0
2019-03-21,22750.0
2019-03-22,22750.0
2019-03-25,23500.0
2019-03-26,24000.0
2019-03-27,24000.0
2019-03-28,24000.0
2019-03-29,24000.0
2019-04-01,24000.0
2019-04-02,24000.0
2019-04-04,24000.0
2019-04-05,24000.0
2019-04-08,24500.0
2019-04-09,24750.0
2019-04-10,25000.0
2019-04-11,25000.0
2019-04-12,25000.0
2019-04-15,25000.0
2019-04-16,25000.0
2019-04-17,25000.0
2019-04-18,25000.0
2019-04-22,25000.0
2019-04-23,25000.0
2019-04-24,24900.0
2019-04-25,24900.0
2019-04-26,24400.0
2019-04-29,24650.0
2019-04-30,25000.0
2019-05-02,25250.0
2019-05-03,25500.0
2019-05-06,25250.0
2019-05-07,25000.0
2019-05-08,25000.0
2019-05-09,24750.0
2019-05-10,24750.0
2019-05-13,24750.0
2019-05-14,24750.0
2019-05-15,24500.0
2019-05-16,24500.0
2019-05-17,24250.0
2019-05-20,24250.0
2019-05-21,24250.0
2019-05-22,24250.0
2019-05-23,24000.0
2019-05-24,24000.0
2019-05-27,23750.0
2019-05-28,23750.0
2019-05-29,23500.0
2019-05-31,23500.0
2019-06-03,23750.0
2019-06-04,23750.0
2019-06-05,23750.0
2019-06-06,23750.0
2019-06-07,23750.0
2019-06-10,23750.0
2019-06-11,23750.0
2019-06-12,23750.0
2019-06-13,23750.0
2019-06-14,23500.0
2019-06-17,23250.0
2019-06-18,23000.0
2019-06-19,23000.0
2019-06-20,23000.0
2019-06-21,22750.0
2019-06-24,23750.0
2019-06-25,24500.0
2019-06-26,24500.0
2019-06-27,24500.0
2019-06-28,24500.0
2019-07-01,24250.0
2019-07-02,24250.0
2019-07-03,24250.0
2019-07-04,24250.0
2019-07-05,24000.0
2019-07-08,24000.0
2019-07-09,24000.0
2019-07-10,24000.0
2019-07-11,24000.0
2019-07-12,24000.0
2019-07-15,24000.0
2019-07-16,24250.0
2019-07-17,24250.0
2019-07-18,24250.0
2019-07-19,24250.0
2019-07-22,24750.0
2019-07-23,24750.0
2019-07-24,24500.0
2019-07-25,24500.0
2019-07-26,25000.0
2019-07-29,25000.0
2019-07-30,25000.0
2019-07-31,24900.0
2019-08-01,24650.0
2019-08-02,24650.0
2019-08-05,24650.0
2019-08-06,24500.0
2019-08-07,24500.0
2019-08-08,24250.0
2019-08-09,24000.0
2019-08-12,24000.0
2019-08-13,24000.0
2019-08-14,24000.0
2019-08-15,24000.0
2019-08-16,24250.0
2019-08-19,24250.0
2019-08-20,24250.0
2019-08-21,24250.0
2019-08-22,24000.0
2019-08-23,24000.0
2019-08-26,24000.0
2019-08-27,24000.0
2019-08-28,24000.0
2019-08-29,24000.0
2019-08-30,24000.0
2019-09-02,23900.0
2019-09-03,23900.0
2019-09-04,23900.0
2019-09-05,23400.0
2019-09-06,23150.0
2019-09-09,23150.0
2019-09-10,23150.0
2019-09-11,23150.0
2019-09-12,23150.0
2019-09-13,22650.0
2019-09-16,22650.0
2019-09-17,22400.0
2019-09-18,22400.0
2019-09-19,22400.0
2019-09-20,22400.0
2019-09-23,22000.0
2019-09-24,22000.0
2019-09-25,22000.0
2019-09-26,22000.0
2019-09-27,21500.0
2019-09-30,21500.0
2019-10-01,21500.0
2019-10-02,21500.0
2019-10-03,21500.0
2019-10-04,22250.0
2019-10-07,22500.0
2019-10-08,22250.0
2019-10-09,22250.0
2019-10-10,22250.0
2019-10-11,21750.0
2019-10-14,21750.0
2019-10-15,21500.0
2019-10-16,21500.0
2019-10-17,21500.0
2019-10-18,21500.0
2019-10-21,21500.0
2019-10-22,21500.0
2019-10-23,21500.0
2019-10-24,21400.0
2019-10-25,21400.0
2019-10-28,21400.0
2019-10-29,21500.0
2019-10-30,21500.0
2019-10-31,21500.0
2019-11-01,21500.0
2019-11-04,21400.0
2019-11-05,21650.0
2019-11-06,21650.0
2019-11-07,21400.0
2019-11-08,21400.0
2019-11-11,22000.0
2019-11-12,22000.0
2019-11-13,22150.0
2019-11-14,22750.0
2019-11-15,24000.0
2019-11-18,24250.0
2019-11-19,24250.0
2019-11-20,24250.0
2019-11-21,24500.0
2019-11-22,24500.0
